03/29/2019,0%,19%,81%
03/28/2019,0%,8%,-92%
03/27/2019,6%,65%,29%
03/26/2019,12%,15%,-73%
03/25/2019,57%,19%,24%
03/22/2019,25%,33%,42%
03/21/2019,47%,16%,37%
03/20/2019,14%,59%,-27%
03/19/2019,58%,33%,-8%
03/18/2019,4%,30%,67%
03/15/2019,55%,27%,18%
03/14/2019,19%,22%,-59%
03/13/2019,25%,35%,-40%
03/12/2019,48%,3%,48%
03/11/2019,9%,4%,87%
03/08/2019,43%,3%,-53%
03/07/2019,35%,5%,59%
03/06/2019,12%,47%,41%
03/05/2019,6%,38%,56%
03/04/2019,73%,27%,0%
03/01/2019,25%,67%,-8%
02/28/2019,46%,18%,36%
02/27/2019,54%,46%,0%
02/26/2019,40%,33%,-27%
02/25/2019,14%,33%,52%
02/22/2019,5%,21%,74%
02/21/2019,47%,6%,47%
02/20/2019,33%,67%,0%
02/19/2019,57%,36%,-7%
02/18/2019,18%,27%,55%
02/15/2019,56%,0%,44%
02/14/2019,50%,25%,25%
02/13/2019,21%,21%,58%
02/12/2019,14%,14%,71%
02/11/2019,0%,0%,100%
02/01/2019,0%,50%,50%
01/31/2019,56%,33%,-11%
01/30/2019,38%,12%,-50%
01/29/2019,6%,82%,-12%
01/28/2019,20%,10%,-70%
01/25/2019,25%,12%,-63%
01/24/2019,37%,13%,50%
01/23/2019,50%,25%,25%
01/22/2019,0%,22%,-78%
01/21/2019,67%,17%,17%
01/18/2019,20%,70%,-10%
01/17/2019,50%,20%,30%
01/16/2019,20%,10%,-70%
01/15/2019,33%,33%,33%
01/14/2019,11%,11%,-78%
01/11/2019,23%,0%,77%
01/10/2019,42%,17%,42%
01/09/2019,91%,0%,9%
01/08/2019,14%,71%,14%
01/07/2019,20%,10%,70%
01/04/2019,7%,13%,80%
01/03/2019,43%,0%,-57%
01/02/2019,38%,12%,-50%
12/28/2018,22%,0%,78%
12/27/2018,15%,0%,-85%
12/26/2018,33%,17%,-50%
12/25/2018,0%,100%,0%
12/24/2018,11%,44%,44%
12/21/2018,43%,43%,-14%
12/20/2018,14%,71%,14%
12/19/2018,14%,14%,-71%
12/18/2018,14%,36%,-50%
12/17/2018,72%,22%,-6%
12/14/2018,67%,22%,11%
12/13/2018,50%,0%,50%
12/12/2018,8%,23%,-69%
12/11/2018,26%,7%,67%
12/10/2018,30%,10%,-60%
12/07/2018,33%,33%,-33%
12/06/2018,70%,0%,30%
12/05/2018,50%,33%,-17%
12/04/2018,0%,21%,79%
12/03/2018,62%,25%,13%
11/30/2018,20%,60%,-20%
11/29/2018,14%,14%,-71%
11/28/2018,15%,15%,70%
11/27/2018,50%,50%,0%
11/26/2018,70%,10%,-20%
11/23/2018,11%,7%,-81%
11/22/2018,22%,33%,-44%
11/21/2018,15%,0%,85%
11/20/2018,9%,9%,-82%
11/19/2018,50%,40%,-10%
11/16/2018,64%,0%,36%
11/15/2018,60%,20%,20%
11/14/2018,63%,37%,0%
11/13/2018,41%,4%,56%
11/12/2018,6%,0%,94%
11/09/2018,64%,18%,18%
11/08/2018,33%,17%,-50%
11/07/2018,57%,43%,0%
11/06/2018,0%,80%,-20%
11/05/2018,0%,33%,67%
11/02/2018,20%,0%,80%
11/01/2018,62%,38%,0%
10/31/2018,50%,10%,40%
10/30/2018,30%,20%,50%
10/29/2018,43%,29%,-29%
10/26/2018,56%,33%,11%
10/25/2018,0%,16%,84%
10/24/2018,50%,12%,38%
10/23/2018,29%,29%,-43%
10/22/2018,35%,12%,53%
10/19/2018,19%,10%,71%
10/18/2018,10%,10%,-80%
10/17/2018,17%,67%,-17%
10/16/2018,12%,0%,88%
10/15/2018,25%,17%,-58%
10/12/2018,13%,52%,-35%
10/11/2018,26%,0%,-74%
10/10/2018,33%,50%,-17%
10/09/2018,13%,25%,-62%
10/08/2018,12%,25%,-63%
09/28/2018,50%,0%,50%
09/27/2018,17%,0%,-83%
09/26/2018,40%,40%,20%
09/25/2018,25%,25%,-50%
09/21/2018,33%,17%,50%
09/20/2018,40%,40%,20%
09/19/2018,17%,17%,67%
09/18/2018,13%,13%,75%
09/17/2018,0%,22%,-78%
09/14/2018,33%,33%,-33%
09/13/2018,33%,67%,0%
09/12/2018,40%,20%,40%
09/11/2018,44%,22%,33%
09/10/2018,21%,7%,-71%
09/07/2018,11%,11%,78%
09/06/2018,17%,17%,-67%
09/05/2018,67%,11%,22%
09/04/2018,25%,13%,62%
09/03/2018,0%,60%,40%
08/31/2018,25%,50%,25%
08/30/2018,33%,50%,-17%
08/29/2018,12%,25%,-63%
08/28/2018,45%,18%,36%
08/27/2018,33%,0%,67%
08/24/2018,25%,25%,-50%
08/23/2018,25%,0%,75%
08/22/2018,29%,57%,14%
08/21/2018,33%,33%,33%
08/20/2018,0%,38%,62%
08/17/2018,22%,0%,-78%
08/16/2018,29%,29%,43%
08/15/2018,30%,0%,-70%
08/14/2018,17%,33%,-50%
08/13/2018,17%,67%,17%
08/10/2018,14%,14%,71%
08/09/2018,17%,17%,67%
08/08/2018,25%,12%,-63%
08/07/2018,17%,58%,25%
08/06/2018,18%,27%,-55%
08/03/2018,11%,0%,-89%
08/02/2018,0%,27%,-73%
08/01/2018,25%,13%,-62%
07/31/2018,11%,44%,-44%
07/30/2018,57%,29%,-14%
07/27/2018,85%,8%,-8%
07/26/2018,33%,17%,50%
07/25/2018,75%,0%,-25%
07/24/2018,24%,0%,76%
07/23/2018,11%,44%,44%
07/20/2018,0%,44%,56%
07/19/2018,13%,0%,-87%
07/18/2018,57%,0%,-43%
07/17/2018,0%,43%,57%
07/16/2018,0%,67%,-33%
07/13/2018,50%,37%,-13%
07/12/2018,29%,14%,57%
07/11/2018,0%,35%,-65%
07/10/2018,8%,33%,-58%
07/09/2018,40%,50%,-10%
07/06/2018,25%,12%,62%
07/05/2018,31%,0%,-69%
07/04/2018,43%,29%,-29%
07/03/2018,6%,12%,81%
07/02/2018,80%,0%,20%
06/29/2018,25%,0%,75%
